[1;34m[src/utils/log.c:13 init_log] Log is written to /home/zgs/project/ysyx-workbench/am-kernels/kernels/hello/build/nemu-log.txt[0m
[1;34m[src/memory/paddr.c:41 init_mem] physical memory area [0x80000000, 0x88000000][0m
[1;34m[src/device/io/mmio.c:18 add_mmio_map] Add mmio map 'serial' at [0xa00003f8, 0xa00003ff][0m
[1;34m[src/device/io/mmio.c:18 add_mmio_map] Add mmio map 'rtc' at [0xa0000048, 0xa000004f][0m
[1;34m[src/device/io/mmio.c:18 add_mmio_map] Add mmio map 'vgactl' at [0xa0000100, 0xa0000107][0m
[1;34m[src/device/io/mmio.c:18 add_mmio_map] Add mmio map 'vmem' at [0xa1000000, 0xa10752ff][0m
[1;34m[src/device/io/mmio.c:18 add_mmio_map] Add mmio map 'keyboard' at [0xa0000060, 0xa0000063][0m
[1;34m[src/device/io/mmio.c:18 add_mmio_map] Add mmio map 'audio' at [0xa0000200, 0xa0000217][0m
[1;34m[src/device/io/mmio.c:18 add_mmio_map] Add mmio map 'audio-sbuf' at [0xa1200000, 0xa120ffff][0m
[1;34m[src/monitor/monitor.c:44 load_img] The image is /home/zgs/project/ysyx-workbench/am-kernels/kernels/hello/build/hello-riscv64-nemu.bin, size = 265[0m
[1;34m[src/cpu/difftest/dut.c:69 init_difftest] Differential testing: [1;32mON[0m[0m
[1;34m[src/cpu/difftest/dut.c:70 init_difftest] The result of every instruction will be compared with /home/zgs/project/ysyx-workbench/nemu/tools/spike-diff/build/riscv64-spike-so. This will help you a lot for debugging, but also significantly reduce the performance. If it is not necessary, you can turn it off in menuconfig.[0m
[1;34m[src/monitor/monitor.c:13 welcome] Trace: [1;32mON[0m[0m
[1;34m[src/monitor/monitor.c:14 welcome] If trace is enabled, a log file will be generated to record the trace. This may lead to a large log file. If it is not necessary, you can disable it in menuconfig[0m
[1;34m[src/monitor/monitor.c:17 welcome] Build time: 17:09:49, Mar 25 2022[0m
0x0000000080000000: 13 04 00 00 
0x0000000080000004: 17 91 00 00 
0x0000000080000008: 13 01 c1 ff 
0x000000008000000c: ef 00 c0 0a 
0x00000000800000b8: 13 01 01 ff 
0x00000000800000bc: 17 05 00 00 
0x00000000800000c0: 13 05 c5 04 
0x00000000800000c4: 23 34 11 00 
0x00000000800000c8: ef f0 9f f4 
0x0000000080000010: 13 01 01 fd 
0x0000000080000014: 23 3c 91 00 
0x0000000080000018: 23 38 21 01 
0x000000008000001c: 23 34 31 01 
0x0000000080000020: 23 30 41 01 
0x0000000080000024: 23 34 11 02 
0x0000000080000028: 13 0a 05 00 
0x000000008000002c: 23 30 81 02 
0x0000000080000030: 13 05 80 04 
0x0000000080000034: 93 09 50 02 
0x0000000080000038: 13 09 50 06 
0x000000008000003c: 97 04 00 00 
0x0000000080000040: 93 84 c4 09 
0x0000000080000044: 63 0e 35 01 
0x0000000080000048: ef 00 00 06 
0x00000000800000a8: 93 07 50 00 
0x00000000800000ac: 93 97 d7 01 
0x00000000800000b0: 23 8c a7 3e 
0x00000000800000b4: 67 80 00 00 
0x000000008000004c: 93 84 14 00 
0x0000000080000050: 63 0a 09 02 
0x0000000080000054: 13 05 09 00 
0x0000000080000058: 03 c9 14 00 
0x000000008000005c: e3 16 35 ff 
0x0000000080000048: ef 00 00 06 
0x00000000800000a8: 93 07 50 00 
0x00000000800000ac: 93 97 d7 01 
0x00000000800000b0: 23 8c a7 3e 
0x00000000800000b4: 67 80 00 00 
0x000000008000004c: 93 84 14 00 
0x0000000080000050: 63 0a 09 02 
0x0000000080000054: 13 05 09 00 
0x0000000080000058: 03 c9 14 00 
0x000000008000005c: e3 16 35 ff 
0x0000000080000048: ef 00 00 06 
0x00000000800000a8: 93 07 50 00 
0x00000000800000ac: 93 97 d7 01 
0x00000000800000b0: 23 8c a7 3e 
0x00000000800000b4: 67 80 00 00 
0x000000008000004c: 93 84 14 00 
0x0000000080000050: 63 0a 09 02 
0x0000000080000054: 13 05 09 00 
0x0000000080000058: 03 c9 14 00 
0x000000008000005c: e3 16 35 ff 
0x0000000080000048: ef 00 00 06 
0x00000000800000a8: 93 07 50 00 
0x00000000800000ac: 93 97 d7 01 
0x00000000800000b0: 23 8c a7 3e 
0x00000000800000b4: 67 80 00 00 
0x000000008000004c: 93 84 14 00 
0x0000000080000050: 63 0a 09 02 
0x0000000080000054: 13 05 09 00 
0x0000000080000058: 03 c9 14 00 
0x000000008000005c: e3 16 35 ff 
0x0000000080000048: ef 00 00 06 
0x00000000800000a8: 93 07 50 00 
0x00000000800000ac: 93 97 d7 01 
0x00000000800000b0: 23 8c a7 3e 
0x00000000800000b4: 67 80 00 00 
0x000000008000004c: 93 84 14 00 
0x0000000080000050: 63 0a 09 02 
0x0000000080000054: 13 05 09 00 
0x0000000080000058: 03 c9 14 00 
0x000000008000005c: e3 16 35 ff 
0x0000000080000048: ef 00 00 06 
